cycle,range_bin,doppler_bin,output_hex
1139535000,22,17,fec3ffa6
1139545000,22,18,00fb027d
1139555000,22,19,fe22fd4f
1139565000,22,20,029e01dd
1139575000,22,21,fc97fe4f
1139585000,22,22,01c000ca
1139595000,22,23,0014001b
1139605000,22,24,016c00c0
1139615000,22,25,fef5ff31
1139625000,22,26,ff60fff1
1139635000,22,27,00db0036
1139645000,22,28,00410098
1139655000,22,29,ff06febc
1139665000,22,30,013f0027
1139675000,22,31,fefe01aa
1143955000,23,0,01a10171
1143965000,23,1,ff29fe32
1143975000,23,2,ff1b019a
1143985000,23,3,0032fefe
1143995000,23,4,ffe50045
1144005000,23,5,01da0152
1144015000,23,6,fed7fe81
1144025000,23,7,000c016e
1144035000,23,8,febbfe53
1144045000,23,9,01d001e7
1144055000,23,10,fe6dfd01
1144065000,23,11,00ec03c6
1144075000,23,12,008ffe2a
1144085000,23,13,ff8dfffb
1144095000,23,14,01befe7e
1144105000,23,15,fda00220
1144115000,23,16,0021ff63
1144125000,23,17,0161fec4
1144135000,23,18,fe310260
1144145000,23,19,0044feb6
1144155000,23,20,0125ff11
1144165000,23,21,feba020a
1144175000,23,22,00edfefb
1144185000,23,23,0050ffb8
1144195000,23,24,ffdbffb5
1144205000,23,25,007a008f
1144215000,23,26,ff1b0181
1144225000,23,27,ffcafc6e
1144235000,23,28,ffff0364
1144245000,23,29,008bfce5
1144255000,23,30,ffca030a
1144265000,23,31,ff48fdea
1148545000,24,0,ff37ffc7
1148555000,24,1,02810083
1148565000,24,2,fe2100ea
1148575000,24,3,0057fe62
1148585000,24,4,fe420288
1148595000,24,5,03e9fea2
1148605000,24,6,fd77ffcc
1148615000,24,7,00580118
1148625000,24,8,000dfe07
1148635000,24,9,003b0231
1148645000,24,10,ffcafcb9
1148655000,24,11,011b0533
1148665000,24,12,ff01fb6e
1148675000,24,13,ff990161
1148685000,24,14,0108ffc8
1148695000,24,15,ff39003e
1148705000,24,16,000d00a1
1148715000,24,17,023fff6f
1148725000,24,18,fcff0094
1148735000,24,19,0115fec6
1148745000,24,20,00120092
1148755000,24,21,ff55fec4
1148765000,24,22,00b50186
1148775000,24,23,fe30feca
1148785000,24,24,028b0255
1148795000,24,25,008dfebd
1148805000,24,26,fd3a0075
1148815000,24,27,0291fe1d
1148825000,24,28,fea70144
1148835000,24,29,feb9ffd1
1148845000,24,30,025000ca
1148855000,24,31,fe8ffed0
1153135000,25,0,0270ff18
1153145000,25,1,ffa200c7
1153155000,25,2,004cff40
1153165000,25,3,feb4fffb
1153175000,25,4,017701d4
1153185000,25,5,ff92fec1
1153195000,25,6,ff41ffec
1153205000,25,7,012f0028
1153215000,25,8,fef90006
1153225000,25,9,ff7ffff5
1153235000,25,10,00fdfffc
1153245000,25,11,fe690154
1153255000,25,12,02b2fe5a
1153265000,25,13,fe2dffa5
1153275000,25,14,010c00fd
1153285000,25,15,013cfecf
1153295000,25,16,fc860220
1153305000,25,17,02bafe29
1153315000,25,18,fd66022c
1153325000,25,19,0134fe77
1153335000,25,20,005ffff4
1153345000,25,21,005000c1
1153355000,25,22,ff63ff1c
1153365000,25,23,0021008c
1153375000,25,24,01cd0016
1153385000,25,25,ff0d004b
1153395000,25,26,ff3dff80
1153405000,25,27,ff9bfed6
1153415000,25,28,02040132
1153425000,25,29,fd690169
1153435000,25,30,037cfd9b
1153445000,25,31,fbc800f1
1157725000,26,0,00cdfea4
1157735000,26,1,00140286
1157745000,26,2,fffdfe6d
1157755000,26,3,0060007e
1157765000,26,4,fedd0009
1157775000,26,5,01b5017d
1157785000,26,6,fedcfead
1157795000,26,7,ffaaff3b
1157805000,26,8,0133005a
1157815000,26,9,ff6b01e1
1157825000,26,10,00a6fd7c
